รหัสพัสดุ,ชื่อพัสดุ,หน่วย,ราคากลาง,ราคามาตรฐาน,Ref_เหนือ,Ref_อีสาน,Ref_กลาง,Ref_ใต้,Std_เหนือ,Std_อีสาน,Std_กลาง,Std_ใต้
1010180301,"WASHER,LOCK,SPRING,SIZE 16 MM.,TIS.259",EA,3.59,3.59,,,,,,,,
1010180302,"WASHER,LOCK,SPRING,SIZE 20 MM.,TIS.259",EA,6.59,6.59,,,,,,,,
1010180303,"WASHER,LOCK,SPRING,SIZE 24 MM.,TIS.259",EA,,8.5,,,,,,,,
1010180400,"WASHER,ROUND,FLAT,SIZE 16 MM.",EA,,3.01,,,,,,,,
1010200001,"BRACE,FLAT,FOR CROSSARM 30X6X760 MM.",EA,64.2,64.2,,,,,,,,
1010200002,"BRACE,FLAT,FOR CROSSARM 40X6X1,000 MM.",EA,112,112,,,,,,,,
1010200003,"BRACE,FLAT,FOR CROSSARM 50X10X1,950 MM.",EA,475,475,,,,,,,,
1010200004,"BRACE,ALLEY ARM 40X40X5 MM. 2.12 M.LONG",EA,388,388,,,,,,,,
1010200005,"BRACE,ALLEY ARM 50X50X6 MM. 2.35 M.LONG",EA,460,490,,,,,,,,
1010200006,"BRACE,ST. ANG. 50X50X6 MM. 1.5 M.WIDE",EA,,770,,,,,,,,
1010200007,"BRACE,ST. ANG. 50X50X6 MM. 1.8 M.WIDE",EA,460,471,,,,,,,,
1010200008,"BRACE, ALLEY ARM 50X50X6 MM. 920 MM.LONG",EA,,499,,,,,,,,
1010200009,เหล็กประกับคอนสาย 50x50x6 มม.ยาว 1 เมตร,EA,252,252,,,,,,,,
1010200010,"BRACE,L SHAPE, 50X10 MM., FOR FSD",EA,,336,,,,,,,,
1010210000,"ROD,ANCHOR,ROUND EYE M.16, 2 M.LONG",EA,236,236,,,,,,,,
1010210001,"ROD,ANCHOR,ROUND EYE M.20, 2.5 M.LONG",EA,,213,,,,,,,,
1010210002,"ROD,ANCHOR,ROUND EYE M.20, 3 M.LONG",EA,,1200,,,,,,,,
1010210003,"ROD,ANCHOR,DOUBLE STRAND EYE,M.20",EA,465,465,,,,,,,,
1010210004,"ROD,ANCHOR,DOUBLE STRAND EYE,M.24",EA,687,687,,,,,,,,
1010210100,SET OF SIDEWALK GUY ARM FOR PIPE 50 MM.,EA,,240,,,,,,,,
1010210101,SET OF SIDEWALK GUY ARM FOR PIPE 80 MM.,EA,,762,,,,,,,,
1010210102,"GUY GUARD, 2,000 MM.LONG",EA,,1988,,,,,,,,
1010210200,"BOLT,STRAND EYE,SINGLE M.16X350 MM.",EA,63.8,63.8,,,,,,,,
1010210201,"BOLT,STRAND EYE, 45 DEG.M.16X250 MM.",EA,60.7,60.7,,,,,,,,
1010210202,"BOLT,STRAND EYE, 45 DEG.M.16X350 MM.",EA,94.8,94.8,,,,,,,,
1010210203,"BOLT,STRAND EYE, 45 DEG.M.20X350 MM.",EA,128,128,,,,,,,,
1010210204,"BOLT,STRAND EYE, 45 DEG.M.20X400 MM.",EA,,85.3,,,,,,,,
1010210300,ANCLE GUY ATTACHMENT 30 DEG.,EA,33.3,33.3,,,,,,,,
1010210304,"THIMBLE,GUY,FOR STEEL WIRE 50-95 SQ.MM.",EA,8.62,8.62,,,,,,,,
1010220002,"GROUND ROD,60X60X5 MM. 2 M.LONG",EA,460,460,,,,,,,,
1010220007,"GROUND ROD,CU COV. ST.,DIA. 16 MM., 3 M.",EA,,829,,,,,,,,
1010220010,"CONDUCTOR,GROUND,FLAT IRON 30X3.5 MM.",M,59.5,59.5,,,,,,,,
1010220102,"WELDING POWDER,FOR CU 95 SQ.MM. TO GD",EA,,365,,,,,,,,
1010220103,"WELDING POWDER,FOR CU 95 SQ.MM.,HOR. ST.",EA,,421,,,,,,,,
1010220104,"WELDING POWDER,FOR CU 95 SQ.MM. RUN&TAP",EA,,179,,,,,,,,
1010220105,"WELDING POWDER,FOR CU 95 SQ.MM.,VER. ST.",EA,,375,,,,,,,,
1010220106,"WELDING POWDER,FOR CU 95 SQ.MM. ACROSS",EA,,225,,,,,,,,
1010220113,"WELDING POWDER,CU 95 SQ.MM.,SPLICE",EA,,165,,,,,,,,
1010220114,"WELDING POWDER,CU 95 SQ.MM. ANG. TAP",EA,,159,,,,,,,,
1010220123,"WELDING POWDER, ST. WIRE 50 SQ.MM. TO GD",EA,,36,,,,,,,,
1010220126,MOLD.PEASY WELD.ST. WIRE 50 SQ.MM. TO GD,EA,,61.6,,,,,,,,
1010220127,GROUND CLAMP FOR CABLE 95-120 SQ.MM.,EA,,105,,,,,,,,
1010230000,"CLAMP,SINGLE U-BOLT,M.8 (WIRE ROPE CLIP)",EA,7.92,7.92,,,,,,,,
1010230001,"CLAMP,DOUBLE U-BOLT,M.16(WIRE ROPE CLIP)",EA,45.4,45.4,,,,,,,,
1010230003,"CLAMP,TRIPLE BOLTS,ST. WIRE 35 SQ.MM.",EA,97.1,97.1,,,,,,,,
1010230004,"CLAMP,TRIPLE BOLTS,ST. WIRE 50 SQ.MM.",EA,,123,,,,,,,,
1010230005,"CLAMP,TRIPLE BOLTS,ST. WIRE 95 SQ.MM.",EA,,111,,,,,,,,
1010230009,"CLAMP,GROUND,CU 95 SQ.MM.",EA,,53.9,,,,,,,,
1010230012,"CLAMP, DOUBLE BOLTS, ST. WIRE 25 SQ.MM.",EA,,139,,,,,,,,
1010230016,"CLAMP,CABLE STRAP FOR UG 1X800 SQ.MM.",EA,,1500,,,,,,,,
1010230102,"CONN.,FLAT 30 MM.,COND. 16-50 SQ.MM.",EA,,40,,,,,,,,
1010230103,"CONN.,FLAT TO FLAT IRON 30 MM.",EA,,45,,,,,,,,
1010230200,"GW SUPPORT AND CLAMP,FOR WOOD BAYONET",EA,,15,,,,,,,,
1010230201,"GW SUPPORT AND CLAMP,FOR POLE",EA,225,225,,,,,,,,
1010230202,"GW SUPPORT AND CLAMP,FOR WOOD POLE",EA,,108,,,,,,,,
1010230203,"GW SUPPORT AND CLAMP,FOR BAYONET",EA,209,209,,,,,,,,
1010230205,"GROUND WIRE CLAMP,J.1152",EA,21.4,21.4,,,,,,,,
1010990000,"NAIL,MILD ST., 2.00X5.00 MM. 35 MM.LONG",EA,,0.25,,,,,,,,
1010990003,"STAPLE,GALV. FOR COND. 25-50 SQ.MM.",EA,,15,,,,,,,,
1020000003,"COND.,CU,BARE 25 SQ.MM.TIS.64",M,,81.3,,,,,,,,
1020000005,"COND.,CU,BARE 50 SQ.MM.TIS.64",M,,225,,,,,,,,
1020000007,"COND.,CU,BARE 95 SQ.MM.TIS 64",M,,421,,,,,,,,
1020010000,"COND.,AL,BARE 25 SQ.MM.TIS.85",M,,25,,,,,,,,
1020010001,"COND.,AL,BARE 35 SQ.MM.TIS.85",M,,5.55,,,,,,,,
1020010002,"COND.,AL,BARE 50/7 SQ.MM.TIS.85",M,,39.9,,,,,,,,
1020010003,"COND.,AL,BARE 70 SQ.MM.TIS.85",M,,30.4,,,,,,,,
1020010004,"COND.,AL,BARE 95 SQ.MM.TIS.85",M,,21.3,,,,,,,,
1020010005,"COND.,AL,BARE 120 SQ.MM.TIS.85",M,,18.6,,,,,,,,
1020010007,"COND.,AL,BARE 185 SQ.MM.TIS.85",M,,46.6,,,,,,,,
1020010008,"COND.,AL,BARE 240 SQ.MM.TIS.85",M,,95,,,,,,,,
1020010009,"COND.,AL,BARE 400 SQ.MM.TIS.85 (จ้างรีดด้วยอินกอท Primary grade)",KM,25550,,,,,,,,,
1020010009,"COND.,AL,BARE 400 SQ.MM.TIS.85",KM/M,23400,121,,,,,,,,
1020010010,"COND.,AL,BARE 625 SQ.MM.TIS.85",M,,145,,,,,,,,
1020020001,"COND.,ACSR 35/6 SQ.MM.TIS.86",M,,8.22,,,,,,,,
1020020002,"COND.,ACSR 50/8 SQ.MM.TIS.86",KM/M,6644,22.5,,,,,,,,
1020020002,"COND.,ACSR 50/8 SQ.MM.TIS.86 (จ้างรีดด้วยอินกอท Primary grade)",KM,6785,,,,,,,,,
1020020003,"COND.,ACSR 70/12 SQ.MM.TIS.86",M,,31,,,,,,,,
1020020004,"COND.,ACSR 95/15 SQ.MM.TIS.86",M,,22.6,,,,,,,,
1020020005,"CONDUCTOR,ACSR 120/20 SQ.MM.TIS.86",M,,80,,,,,,,,
1020020007,"CONDUCTOR,ACSR 185/30 SQ.MM.TIS.86",M,,76.4,,,,,,,,
1020020008,"CONDUCTOR, ACSR 380/50 SQ.MM. TIS.86",M,,160,,,,,,,,
1020030001,"COND.,AL-ALLOY 35 SQ.MM.TIS.725",M,,18.3,,,,,,,,
1020030002,"COND.,AL-ALLOY 50/7 SQ.MM.TIS.725",M,,18.3,,,,,,,,
1020030003,"COND.,AL-ALLOY 70 SQ.MM.TIS.725",M,,34.5,,,,,,,,
1020030004,"COND.,AL-ALLOY 95 SQ.MM.TIS.725",M,,25.6,,,,,,,,
1020030005,"COND.,AL-ALLOY 120 SQ.MM.TIS.725",M,,34.2,,,,,,,,
1020030007,"COND.,AL-ALLOY 185 SQ.MM.TIS.725",M,,110,,,,,,,,
1020040000,"CABLE,UG,CU 22 KV. 1X35 SQ.MM.",M,,302,,,,,,,,
1020040001,"CABLE,UG,CU 22 KV. 1X50 SQ.MM.",M,,659,,,,,,,,
1020040003,"CABLE,UG,CU 22 KV. 1X95 SQ.MM.",M,,710,,,,,,,,
1020040006,"CABLE,UG,CU 22 KV. 1X185 SQ.MM.",M,,405,,,,,,,,
1020040007,"CABLE,UG,CU 22 KV. 1X240 SQ.MM.",M,1907,1907,,,,,,,,
1020040008,"CABLE,UG,CU 22 KV. 1X500 SQ.MM.",M,3151,3151,,,,,,,,
1020040009,"CABLE,UG,CU 22 KV. 1 X 400 SQ.MM",M,2899,2899,,,,,,,,
1020040101,"CABLE,UG,CU 33 KV. 1X50 SQ.MM.",M,,700,,,,,,,,
1020040107,"CABLE,UG,CU 33 KV. 1X240 SQ.MM.",M,2209,2209,,,,,,,,
1020040108,"CABLE UG,CU.33 KV. 1 X 400 SQ.MM.",M,3267,3267,,,,,,,,
1020040109,"CABLE,UG,CU.33 KV. 1 X 500 SQ.MM.",M,3627,3627,,,,,,,,
1020040200,"CABLE, UG, CU., 115 KV 1X800 SQ.MM.",M,7701,7701,,,,,,,,
1020040301,"CABLE,CV, 0.6/1 KV 1X50 SQ.MM.",M,,218,,,,,,,,
1020040303,"CABLE,CV, 0.6/1 KV 1X95 SQ.MM.",M,,543,,,,,,,,
1020040306,"CABLE,CV, 0.6/1 KV 1X185 SQ.MM.",M,,768,,,,,,,,
1020040310,"CABLE,UG.CV.0.6/1 KV.1X16 SQ.MM.",M,,129,,,,,,,,
1020050000,"CABLE,AERIAL,AL 22 KV. 1X50 SQ.MM.",KM/M,63150,87.4,,,,,,,,
1020050000,"CABLE,AERIAL,AL 22 KV. 1X50 SQ.MM. (จ้างรีดด้วยอินกอท Primary grade)",KM,63890,,,,,,,,,
1020050001,"CABLE,AERIAL,AL 22 KV. 1X95 SQ.MM.",M,,150,,,,,,,,
1020050002,"CABLE,AERIAL,AL 22 KV. 1X120 SQ.MM.",M,,170,,,,,,,,
1020050003,"CABLE,AERIAL,AL 22 KV. 1X150 SQ.MM.",M,,391,,,,,,,,
1020050004,"CABLE,AERIAL,AL 22 KV. 1X185 SQ.MM. (จ้างรีดด้วยอินกอท Primary grade)",KM,106100,,,,,,,,,
1020050004,"CABLE,AERIAL,AL 22 KV. 1X185 SQ.MM.",KM/M,105600,190,,,,,,,,
1020050005,"CABLE,AERIAL,AL 22 KV. 1X240 SQ.MM.",M,,198,,,,,,,,
1020050100,"CABLE,AERIAL,AL 33 KV. 1X50 SQ.MM. (จ้างรีดด้วยอินกอท Primary grade)",KM,83780,,,,,,,,,
1020050100,"CABLE,AERIAL,AL 33 KV. 1X50 SQ.MM.",KM/M,83270,119,,,,,,,,
1020050101,"CABLE,AERIAL,AL 33 KV. 1X95 SQ.MM.",M,,150,,,,,,,,
1020050102,"CABLE,AERIAL,AL 33 KV. 1X120 SQ.MM.",M,,180,,,,,,,,
1020050103,"CABLE,AERIAL,AL 33 KV. 1X150 SQ.MM.",M,,450,,,,,,,,
1020050104,"CABLE,AERIAL,AL 33 KV. 1X185 SQ.MM. (จ้างรีดด้วยอินกอท Primary grade)",KM,144600,,,,,,,,,
1020050104,"CABLE,AERIAL,AL 33 KV. 1X185 SQ.MM.",KM/M,143600,180,,,,,,,,
1020050105,"CABLE,AERIAL,AL 33 KV. 1X240 SQ.MM.",M,,377,,,,,,,,
1020050200,"CABLE,TWISTED,AL.22KV.3-1x50 Sq.mm.",M,,638,,,,,,,,
1020050202,"CABLE,TAC,H.T.,AL 22 KV. 3-1X120 SQ.MM.",M,,1428,,,,,,,,
1020050203,"CABLE,TWISTED,AL.22KV.3-1x185 Sq.mm.",M,,1831,,,,,,,,
1020050204,"CABLE,TWISTED,AL.22KV.3-1x240 Sq.mm.",M,,1809,,,,,,,,
1020050300,"CABLE,TAC, H.T. AL.33 KV.3-1X50 SQ.MM.",M,,1527,,,,,,,,
1020050302,"CABLE,TWISTED,AL.33KV.3-1x120 Sq.mm.",M,,1624,,,,,,,,
1020050303,"CABLE,TWISTED,AL.33KV.3-1x185 Sq.mm.",M,,2369,,,,,,,,
1020050304,"CABLE,TWISTED,AL.33KV.3-1x240 Sq.mm.",M,,2166,,,,,,,,
1020060001,"PIC,22 KV. 50 SQ.MM.",M,,33.7,,,,,,,,
1020060002,"PIC,22 KV. 95 SQ.MM.",M,,50.2,,,,,,,,
1020060003,"PIC,22 KV. 120 SQ.MM.",M,,58.3,,,,,,,,
1020060004,"PIC,22 KV. 185 SQ.MM.",M,,81.7,,,,,,,,
1020060101,"PIC,33 KV. 50 SQ.MM.",M,,56,,,,,,,,
1020060102,"PIC,33 KV. 95 SQ.MM.",M,,56,,,,,,,,
1020060103,"PIC,33 KV. 120 SQ.MM.",M,,76.4,,,,,,,,
1020060104,"PIC,33 KV. 185 SQ.MM.",M,,83,,,,,,,,
1020060200,"PIC,22 KV. 50/8 SQ.MM.",M,,128,,,,,,,,
1020070000,"CABLE,AL,750 V,25 SQ.MM. TIS.293 (จ้างรีดด้วยอินกอท Primary grade)",KM,6240,,,,,,,,,
1020070000,"CABLE,AL,750 V,25 SQ.MM. TIS.293",KM/M,5767,15.2,,,,,,,,
1020070001,"CABLE,AL,750 V,35 SQ.MM. TIS.293",M,,10.8,,,,,,,,
1020070002,"CABLE,AL,750 V,50 SQ.MM. TIS.293 (จ้างรีดด้วยอินกอท Primary grade)",KM,9048,,,,,,,,,
1020070002,"CABLE,AL,750 V,50 SQ.MM. TIS.293",KM/M,8807,26.7,,,,,,,,
1020070003,"CABLE,AL,750 V,70 SQ.MM. TIS.293",M,,35.3,,,,,,,,
1020070004,"CABLE,AL,750 V,95 SQ.MM. TIS.293",KM/M,19790,49.9,,,,,,,,
1020070004,"CABLE,AL,750 V,95 SQ.MM. TIS.293 (จ้างรีดด้วยอินกอท Primary grade)",KM,20470,,,,,,,,,
1020070005,"CABLE,AL,750 V,120 SQ.MM.TIS.293",M,,94.6,,,,,,,,
1020070006,"CABLE,AL,750 V,150 SQ.MM.TIS.293",M,,73.2,,,,,,,,
1020070007,"CABLE,AL,750 V,185 SQ.MM.TIS.293",M,,116,,,,,,,,
1020070008,"CABLE,AL,750 V,240 SQ.MM.TIS.293",M,,177,,,,,,,,
1020070100,"CABLE,AL,SOLID,PVC-INSULATED, 10 SQ.MM.",M,,5.5,,,,,,,,
1020070101,"CABLE,AL,SOLID,PVC-INSULATED, 16 SQ.MM.",M,,9.77,,,,,,,,
1020070200,"CABLE, ABC, AL, 0.6/1 kV. 4X70 SQ.MM.",M,,447,,,,,,,,
1020070201,"CABLE, ABC, AL, 0.6/1 kV. 4X95 SQ.MM.",M,,494,,,,,,,,
1020070202,"CABLE, ABC, AL, 0.6/1 kV. 4X120 SQ.MM.",M,,550,,,,,,,,
1020080007,"CABLE,PVC,750 V,1X25 SQ.MM.TIS.11 TABLE6",M,,86,,,,,,,,
1020080008,"CABLE,PVC,750 V,1X35 SQ.MM.TIS.11 TABLE6",M,,114,,,,,,,,
1020080009,"CABLE,PVC,750 V,1X50 SQ.MM.TIS.11 TABLE6",M,,263,,,,,,,,
1020080011,"CABLE,PVC,750 V,1X95 SQ.MM.TIS.11 TABLE6",M,,291,,,,,,,,
1020080012,"CABLE,PVC,750V,1X120 SQ.MM.TIS.11 TABLE6",M,,334,,,,,,,,
1020080102,"CABLE,PVC,750V,2X2.5 SQ.MM.TIS.11 TABLE7",M,,48,,,,,,,,
1020080103,"CABLE,PVC,750 V, 2X4 SQ.MM.TIS.11 TABLE7",M,,38.4,,,,,,,,
1020080106,"CABLE,PVC,750 V,2X16 SQ.MM.TIS.11 TABLE7",M,,144,,,,,,,,
1020080107,"CABLE,PVC,750 V,2X25 SQ.MM.TIS.11 TABLE7",M,,212,,,,,,,,
1020080109,"CABLE,PVC,750 V,2X50 SQ.MM.TIS.11 TABLE7",M,,190,,,,,,,,
1020080126,"CABLE,PVC,750 V,3X16 SQ.MM.TIS.11 TABLE7",M,,191,,,,,,,,
1020080402,"CONTROL CABLE,7X2.5 SQ.MM.TIS.838TABLE10",M,142,142,,,,,,,,
1020080500,"CABLE,CU,PVC,INS.&JAC. 600 V, 2X6 SQ.MM.",M,,34.8,,,,,,,,
1020080501,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",M,146,146,,,,,,,,
1020080502,"CABLE,CU,PVC,INS.&JAC,600V.2X35 SQ.MM.",M,469,469,,,,,,,,
1020080603,"CABLE,PVC,750 V,1X2.5 SQ.MM.TIS.11TABLE4",M,,9,,,,,,,,
1020080606,"CABLE,PVC,750 V,1X10 SQ.MM.TIS.11 TABLE4",M,,48,,,,,,,,
1020080607,"CABLE,PVC,750 V,1X16 SQ.MM.TIS.11 TABLE4",M,,43,,,,,,,,
1020080608,"CABLE,PVC,750 V,1X25 SQ.MM.TIS.11 TABLE4",M,,101,,,,,,,,
1020080609,"CABLE,PVC,750 V,1X35 SQ.MM.TIS.11 TABLE4",M,,77.7,,,,,,,,
1020080610,"CABLE,PVC,750 V,1X50 SQ.MM.TIS.11 TABLE4",M,,220,,,,,,,,
1020080611,"CABLE,PVC,750 V,1X70 SQ.MM.TIS.11 TABLE4",M,,149,,,,,,,,
1020080612,"CABLE,PVC,750 V,1X95 SQ.MM.TIS.11 TABLE4",M,,401,,,,,,,,
1020080613,"CABLE,PVC,750V,1X120 SQ.MM.TIS.11 TABLE4",M,,575,,,,,,,,
1020080614,"CABLE,PVC,750V,1X150 SQ.MM.TIS.11 TABLE4",M,,314,,,,,,,,
1020080615,"CABLE,PVC,750V,1X185 SQ.MM.TIS.11 TABLE4",M,,387,,,,,,,,
1020080616,"CABLE,PVC,750V,1X240 SQ.MM.TIS.11 TABLE4",M,,536,,,,,,,,
1020080618,"CABLE,PVC,750V,1X400 SQ.MM.TIS.11 TABLE4",M,,835,,,,,,,,
1020080619,"CABLE,PVC,750V,1X500 SQ.MM.TIS.11 TABLE4",M,,1081,,,,,,,,
1020089952,"CONDUCTOR,CU,YTY 0.6/1 KV. 2X2.5 SQ.MM.",M,,32,,,,,,,,
1020089954,"CONDUCTOR,CU,NFYW 0.6/1 KV. 2.5 SQ.MM.",M,,18.4,,,,,,,,
1020089957,"CONDUCTOR,CU,NFYW 0.6/1 KV. 10 SQ.MM.",M,,95,,,,,,,,
1020150001,"CABLE TERMINATION KITS,O/D, 22 KV. 1X50",EA,,2900,,,,,,,,
1020150003,"CABLE TERMINATION KITS,O/D, 22 KV. 1X95",EA,,3900,,,,,,,,
1020150004,"CABLE TERMINATION KITS,O/D, 22 KV. 1X120",EA,,4117,,,,,,,,
1020150006,"CABLE TERMINATION KITS,O/D, 22 KV. 1X185",EA,,5851,,,,,,,,
1020150007,"CABLE TERMINATION KITS,O/D, 22 KV. 1X240",EA,,3762,,,,,,,,
1020150008,"CABLE TERMINATION KITS,O/D, 22 KV. 1X500",EA,,3162,,,,,,,,
1020150009,"CABLE TERMINATION KITS,O/D, 22 KV. 1X400",EA,,2581,,,,,,,,
1020150101,"CABLE TERMINATION KITS,O/D, 33 KV. 1X50",EA,,3942,,,,,,,,
1020150107,"CABLE TERMINATION KITS,O/D, 33 KV. 1X240",EA,,3446,,,,,,,,
1020150108,"CABLE TERMINATION KITS,O/D, 33 KV. 1X400",EA,,2962,,,,,,,,
1020150201,115KV.TERMINATOR O/D 800SQ.MM3070MM,EA,,152900,,,,,,,,
1020150202,"CABLE TERMINATION,GIS,115 KV. 1X800",EA,,60830,,,,,,,,
1020150204,"115kV.TERMINATOR KIT,O/D,1x800,67-73mm",EA,,101400,,,,,,,,
1020150300,"TERMINAL O/D,FOR TAC 22 KV. 120 SQ.MM.",EA,,8800,,,,,,,,
1020160007,"CABLE TERMINATION KITS,I/D,22 KV. 1X240",EA,,1026,,,,,,,,
1020160008,"CABLE TERMINATION KITS,I/D,22 KV. 1X500",EA,,1971,,,,,,,,
1020160009,"CABLE TERMINATION KITS,I/D,22 KV.1 X 400",EA,,1577,,,,,,,,
1020160101,"CABLE TERMINATION KITS,I/D,33 KV. 1X50",EA,,1450,,,,,,,,
1020160107,"CABLE TERMINATION KITS,I/D,33 KV. 1X240",EA,,2191,,,,,,,,
1020160108,"CABLE TERMINATION KITS,I/D,33 KV.1X400",EA,,1962,,,,,,,,
1020170001,"SPLICING KIT, FOR UG CABLE 22 KV. 1X50",EA,,3402,,,,,,,,
1020170006,"SPLICING KIT,FOR UG CABLE, 22 KV. 1X185",EA,,1818,,,,,,,,
1020170007,"SPLICING KIT,FOR UG CABLE 22 KV. 1X240",EA,,3732,,,,,,,,
1020170008,"SPLICING KIT,FOR UG CABLE,22 KV. 1X500",EA,,2939,,,,,,,,
1020170009,"SPLICING KIT,FOR UG CABLE,22 KV.1X400",EA,,4368,,,,,,,,
1020170101,"SPLICING KIT, FOR UG CABLE 33 KV, 1X50",EA,,6499,,,,,,,,
1020170107,"SPLICING KIT,FOR UG CABLE 33 KV. 1X240",EA,,5721,,,,,,,,
1020170108,"SPLICING KIT,FOR UG CABLE ,33 KV. 1X400",EA,,5435,,,,,,,,
1020170109,"SPLICING KIT,FOR UG CABLE ,33 KV. 1X500",EA,,4324,,,,,,,,
1020170200,"SPLICING KIT,115kV.1x800,67-73 mm",EA,,99630,,,,,,,,
1020170201,"SPLICING KIT,115kV.1x800,67-73 mm.C-BOND",EA,,91600,,,,,,,,
1020170203,"SPLICING KIT,115kV.1x800,77-80 mm",EA,,85980,,,,,,,,
1020170204,"SPLICING KIT,115kV.1x800,77-80 mm.C-BOND",EA,,91210,,,,,,,,
1020170300,"SPLICING KIT,TWISTED,AL 22 KV. 3-1X120",EA,,20700,,,,,,,,
1020170400,CROSS BOND LINK BOXES,EA,,143700,,,,,,,,
1020170402,"SINGLE POINT BOND LINK BOX, SINGLE-CORE",EA,,150000,,,,,,,,
1020170403,"SINGLE POINT BOND LINK BOX, COAXIAL",EA,,180000,,,,,,,,
1020170404,"DIRECT EARTHING LINK BOX, SINGLE-CORE",EA,,108500,,,,,,,,
1020170405,"DIRECT EARTHING LINK BOX, COAXIAL",EA,,165000,,,,,,,,
1020170406,"CROSS BOND LINK BOX, COAXIAL",EA,,180000,,,,,,,,
1020170500,REPAIR JOINT FOR SUBMARINE 33KV. 3X120,EA,,1715800,,,,,,,,
1020170501,REPAIR JOINT FOR SUBMARINE 33KV. 3X185,EA,,1789700,,,,,,,,
1020170502,REPAIR JOINT FOR SUBMARINE 115KV. 3X185,EA,,4066900,,,,,,,,
1020170503,REPAIR JOINT FOR SUBMARINE 115KV. 3X240,EA,,4100400,,,,,,,,
1020170504,REPAIR JOINT FOR SUBMARINE 115KV. 3X500,EA,,4593700,,,,,,,,
1020180000,"TAPE,PVC,O/D,0.125X19X10,000 MM. TIS.386",EA,,4.7,,,,,,,,
1020180001,"TAPE,PVC,O/D,0.18X19X10,000 MM. TIS.386",EA,6.21,6.21,,,,,,,,
1020180002,"TAPE,PVC,O/D,0.18X19X20,000 MM. TIS.386",EA,,10.5,,,,,,,,
1020180003,"SPLICING TAPE,AERIAL CABLE,3/4X30'",EA,,33.1,,,,,,,,
1020180004,"TAPE,ELECTRICAL,SILICONE,25.4 MM.X9 M.",EA,,398,,,,,,,,
1020180005,"TAPE,PUTTY,INSULATION,38 MM.X1.5 M.",EA,,77.9,,,,,,,,
1020180006,"DIELECTRIC AIRSEAL,100 X 100 X 3.1 MM.",EA,,55,,,,,,,,
1020180008,"EPR, HIGH-VOLTAGE INSULATING TAPE",EA,,140,,,,,,,,
1020200000,"TAPE,ARMOR,AL 1X10 MM.",KG,252,252,,,,,,,,
1020200002,"TIE WIRE,AL 4.0 MM.",KG,203,203,,,,,,,,
1020200003,COVERED TIE WIRE.AL.4.0 MM.,M,9.71,9.71,,,,,,,,
1020200100,"VIBRATION DAMPER,SPIRAL,ST. WIRE 25",EA,,161,,,,,,,,
1020200101,"VIBRATION DAMPER,SPIRAL,AL 50,ACSR 50/8",EA,,177,,,,,,,,
1020200102,"VIBRATION DAMPER,SPIRAL,AL95-120,ACSR95",EA,,259,,,,,,,,
1020200103,"VIBRATION DAMPER,SPIRAL,AL185,ACSR120-",EA,,242,,,,,,,,
1020200104,"VIBRATION DAMPER,DUMBELL,AL.400 SQ.MM.",EA,,1032,,,,,,,,
1020200106,"VIBRATION DAMPER,DUMBELL,ST. WIRE 50",EA,,558,,,,,,,,
1020200107,"VIBRATION DAMPER,DUMBELLS,ACSR 380/50",EA,,933,,,,,,,,
1020210104,"LINE GUARD,PREFORMED,AL 95 SQ.MM.",EA,,30.7,,,,,,,,
1020210105,"LINE GUARD,PREFORMED,AL 120 SQ.MM.",EA,,30.7,,,,,,,,
1020210107,"LINE GUARD,PREFORMED,AL 185 SQ.MM.",EA,,117,,,,,,,,
1020210109,"LINE GUARD,PREFORMED,AL 400 SQ.MM.",EA,,346,,,,,,,,
1020220105,"ARMOR ROD,PREFORMED,AL-ALLOY 120 SQ.MM.",EA,,118,,,,,,,,
1020220107,"ARMOR ROD,PREFORMED,AL-ALLOY 185 SQ.MM.",EA,272,272,,,,,,,,
1020220109,"ARMOR ROD,PREFORMED,AL-ALLOY 400 SQ.MM.",EA,760,760,,,,,,,,
1020230001,"ARMOR-GRIP,PREFORMED,AL 400 SQ.MM.",EA,,1461,,,,,,,,
1020230003,ARMOR-GRIP.PREFORMED.OPGW.CONCRETE POLE,EA,2939,2939,,,,,,,,
1020230004,ARMOR-GRIP.PREFORMED.OPGW.BEYONET,EA,3051,3051,,,,,,,,
1020240000,"SPACER,HELICAL ROD,PREFORMED,AL 400",EA,274,274,,,,,,,,
1020240101,"CABLE SPACER,AL-ALLOY,AL BUNDLE 625",EA,,400,,,,,,,,
1020250001,"PREFORMED D/E,FOR PIC 22 KV. 50 SQ.MM.",EA,,67.9,,,,,,,,
1020250002,"PREFORMED D/E,FOR PIC 22 KV. 95 SQ.MM.",EA,,71.9,,,,,,,,
1020250004,"PREFORMED D/E,FOR PIC 22 KV. 185 SQ.MM.",EA,,96,,,,,,,,
1020250101,"PREFORMED D/E,FOR PIC 33 KV. 50 SQ.MM.",EA,,49,,,,,,,,
1020250200,"PREFORMED D/E,PIC 22 KV 120 SQ.MM.",EA,,106,,,,,,,,
1020250220,"PREFORMED D/E,PIC 33 KV.120 SQ.MM.",EA,,78.5,,,,,,,,
1020250221,"PREFORMED D/E,PIC 33 KV 185 SQ.MM.",EA,,92.9,,,,,,,,
1020250300,PREFORMED D/E. OPGW.DIA. 14 MM.,EA,542,542,,,,,,,,
1020260003,"PREFORMED D/E,SAC 22 KV.,AL 150 SQ.MM.",EA,,355,,,,,,,,
